Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
PON3	-3.843	-4.331	-3.394	-2.182	-1.348	-4.169	-7.257	-0.44	-1.978	-4.163	-4.025	-4.212	-5.016	-3.659	-5.936	-2.748	-5.462	-3.744	-3.646	-4.341
MAT2B	2.582	2.9	1.926	1.266	1.238	0.534	-2.259	1.607	1.235	1.816	1.422	1.337	2.21	1.535	1.515	1.12	2.306	2.096	2.937	3.17
CYFIP2	2.14	2.814	2.69	1.802	1.597	0.563	-3.022	1.009	1.278	1.626	0.693	2.998	1.3	0.792	1.133	2.054	1.267	1.435	0.784	2.324
GLCCI1	-0.171	-0.399	-1.073	-0.888	-0.18	-0.61	-2.045	0.099	-0.328	0.048	0.401	1.15	0.512	0.054	-0.219	-0.829	0.186	0.792	0.221	0.339
ANTXR2	-0.659	-0.069	0.327	-1.873	-1.259	-2.806	-1.512	-2.785	-0.059	-0.91	-0.07	3.642	-2.057	-0.978	-1.7	-1.09	-1.621	-1.497	-0.695	-0.438
AHCY	-3.069	-3.773	-3.078	-4.141	-2.594	-2.005	-0.647	-1.984	-2.632	-1.928	-2.656	-2.785	-2.53	-1.858	-1.395	-2.624	-2.967	-3.225	-2.751	-2.438
PSMB8	5.25	4.099	4.977	3.989	5.616	4.232	1.68	4.4	5.291	5.026	5.044	4.225	4.368	4.835	5.615	4.31	4.03	4.558	5.32	5.014
ME1	1.506	1.934	0.14	-0.602	0.129	1.05	0.009	1.478	0.375	1.438	1.422	-1.021	1.163	1.547	1.856	1.867	2.296	1.43	2.625	1.499
IVNS1ABP	1.2	1.385	1.804	0.402	1.255	0.936	-2.244	0.999	-0.054	0.97	1.726	2.326	1.292	0.835	0.34	2.196	1.646	2.955	2.455	1.724
MED12	-0.325	0.225	-0.456	-0.807	-1.275	-0.292	0.517	-0.992	-0.288	-1.39	-1.171	-2.534	-2.833	-2.207	-2.407	-1.797	-1.944	-2.699	-2.289	-1.745
NASP	-0.264	1.594	0.924	-0.7	1.223	0.69	-0.208	3.584	1.446	2.962	2.243	1.71	2.901	3.708	4.318	2.025	2.43	2.573	3.447	3.146
PLXNB1	-2.82	-3.557	-2.999	-2.6	-3.304	-2.44	1.314	-3.688	-2.188	-4.929	-4.009	-3.641	-5.946	-5.218	-5.289	-4.17	-4.848	-5.814	-3.971	-4.541
CBX5	-0.292	-0.163	0.4	-3.227	-0.497	-1.163	-0.068	0.934	0.247	-0.263	-0.722	-3.578	0.399	0.607	0.793	-0.408	1.112	-0.336	-1.291	-0.404
UBA6	-1.73	-0.575	-1.05	-1.807	-1.078	-0.442	-0.736	0.306	-1.071	-0.656	-0.054	-1.619	-0.022	-1.25	0.647	-0.808	0.966	1.152	-0.013	0.695
MKI67	-0.246	-0.574	0.954	-0.202	-1.18	-0.32	-0.29	-0.359	-0.769	-0.759	-0.732	-2.327	-1.478	-2.062	-1.95	0.01	-2.105	0.139	0.568	0.006
CSF3R	7.023	7.692	7.594	6.142	6.185	2.596	1.68	5.277	5.28	5.091	4.887	4.838	2.66	3.702	3.852	3.915	3.265	4.412	5.433	4.225
CD9	-1.245	-1.614	-0.941	-2.939	-4.584	-3.284	-1.124	-1.612	-2.799	-4.178	-3.614	-3.022	-3.844	-4.166	-3.809	-3.979	-4.079	-4.349	-3.93	-2.521
MYBL2	-4.611	-5.034	-4.434	-3.896	-0.702	-1.953	-1.007	2.044	-2.773	1.115	-1.504	-2.891	-1.128	0.685	1.584	-1.558	-1.243	-1.11	-0.329	-1.738
TFRC	-4.857	-3.443	-4.688	-4.315	-4.896	-3.143	-1.095	-3.219	-3.226	-5.235	-4.534	-5.858	-6.206	-5.917	-6.261	-5.151	-5.464	-6.059	-4.802	-5.658
RPS6KB1	-0.567	-0.544	-0.513	0.862	0.507	0.826	-1.98	1.321	0.069	-0.128	0.698	0.37	0.446	0.521	0.03	0.016	0.84	0.138	0.866	0.07
PPP2R2A	-0.748	-0.729	0.067	-1.84	-0.322	-0.582	-0.642	0.545	-1.93	-0.889	-0.382	-1.071	-0.553	-0.794	-0.486	-0.518	-0.358	-0.968	0.14	-0.296
MAP2K4	1.425	1.696	1.804	2.152	1.529	1.009	-0.047	1.503	1.225	0.45	0.727	1.699	0.431	0.126	0.401	0.911	0.542	0.406	1.471	0.931
TK2	-0.367	-0.09	-0.184	-0.27	1.888	0.113	-4.695	2.151	-0.45	1.104	0.441	0.08	0.309	0.578	1.169	0.968	0.2	-0.509	0.78	0.692
TPRKB	-0.938	-2.154	-1.519	-0.976	-0.751	0.505	-0.746	2.428	-1.681	-0.403	0.188	-2.559	2.036	1.117	0.78	-0.241	1.341	2.824	-0.216	-1.549
STARD13	-1.792	-2.644	-0.952	-3.095	-2.399	1.175	-3.357	-0.859	0.232	-0.108	-0.378	0.201	-2.235	-1.191	-1.165	-0.525	-0.533	-0.959	-0.481	-1.009
ASMTL	1.384	2.028	0.936	NA	1.056	0.217	-0.587	0.911	0.947	0.766	0.387	0.514	-1.103	-0.707	0.113	-0.195	-0.989	-0.267	-0.099	0.407
DUSP14	-1.934	-1.724	-2.359	0.393	-2.32	-1.479	-2.587	-0.112	-1.245	-1.651	-2.15	-1.684	-2.343	-2.115	-1.775	-1.726	-3.24	-2.557	-2.361	-1.909
CAPN7	0.32	0.194	-0.651	-0.108	-0.768	-0.697	-1.795	0.389	-0.59	-1.118	-0.538	-0.739	-0.028	-1.027	-1.003	-0.757	-0.097	-0.134	-0.797	-0.577
CRABP1	-2.746	-1.939	-3.324	-3.654	-3.511	0.565	-0.861	0.293	-1.958	-2.683	-2.99	-2.789	-4.12	-3.279	-3.804	-4.728	-4.369	-3.263	-3.858	-3.598
CTNNBL1	-0.379	-0.082	0.278	0.077	0.5	-0.902	-1.572	1.105	0.425	0.776	0.706	0.6	0.24	1.266	1.28	0.317	-0.226	-0.203	0.645	0.889
WSB1	2.076	-1.583	-0.041	0.944	1.592	-0.131	0.401	NA	0.077	0.309	2.235	0.817	-0.21	-0.561	-0.519	0.09	0.521	2.057	1.209	0.874
HTATSF1	1.773	4.53	NA	1.129	2.467	3.794	NA	2.144	0.697	2.099	NA	NA	NA	4.204	2.878	NA	0.082	NA	3.252	1.611
CD7	-0.343	NA	4.565	1.964	1.541	NA	NA	-2.178	-0.599	3.752	5.588	NA	2.369	4.415	2.564	NA	2.544	3.013	2.628	3.448
LAMA5	4.51	NA	NA	1.693	4.853	NA	2.42	1.43	1.288	4.674	NA	3.523	6.764	3.393	0.773	6.061	2.2	NA	5.206	1.967
PARP4	0.843	1.756	NA	-0.803	NA	3.575	4.768	1.294	3.742	NA	NA	1.666	3.69	6.129	2.272	NA	NA	5.42	NA	2.275
GNAS	0.793	NA	NA	1.899	NA	3.428	NA	NA	1.747	NA	NA	NA	NA	1.89	1.566	2.712	3.107	5.219	NA	0.609
CYP3A4	3.404	3.554	NA	3.12	4.364	5.927	1.455	NA	-3.401	NA	4.709	1.513	2.082	5.733	2.391	4.53	3.111	5.467	-2.547	1.165
BBC3	1.546	2.082	1.969	NA	3.631	4.366	NA	NA	NA	NA	NA	1.643	0.156	1.894	0.458	4.504	1.284	NA	NA	0.911
TTK	-0.049	-3.156	0.851	-0.415	0.251	-1.052	-0.415	0.915	-0.245	-0.871	-1.691	1.966	1.165	0.748	-0.121	0.135	0.178	1.551	-0.715	-0.657
LMBRD2	-0.99	-3.815	-0.355	-1.599	-1.761	0.297	-1.387	1.163	-0.026	-0.701	-0.248	1.391	-0.813	-1.745	-1.043	NA	-1.062	-0.718	-0.742	-1.441
HCLS1	4.599	5.219	5.793	3.521	4.955	2.955	1.321	4.327	4.513	4.987	5.023	5.951	3.746	4.36	5.011	4.255	4.084	2.758	5.176	4.92
UVRAG	1	1.53	1.26	2.164	1.637	1.066	-0.078	0.743	1.808	0.924	1.015	2.36	0.416	0.571	0.444	0.936	0.953	-0.253	1.23	1.337
VAMP7	-0.05	0.461	0.548	-0.183	-0.587	1.035	-2.22	0.974	-0.507	-0.754	0.659	-0.25	0.938	-0.523	-0.1	0.539	0.435	0.991	0.294	0.512
PPP2R5E	-2.508	-1.492	-0.758	-1.476	-1.665	-0.053	-5.562	-0.553	-1.461	-1.323	-1.833	5.908	-0.532	-1.263	-0.706	-1.294	-0.828	-0.456	-0.344	-0.259
MAPKAPK2	0.058	-0.261	0.214	0.445	0.884	-0.141	0.632	0.284	0.389	0.099	0.038	-0.17	-0.696	-0.299	0.601	-0.274	-1.123	-0.324	-0.152	0.525
DPAGT1	-1.321	-1.256	-1.7	-1.345	-0.627	-1.179	1.147	0.236	-1.253	0.2	-0.937	0.08	-0.551	0.023	0.701	-0.481	-0.605	-2.029	-0.178	-0.817
TRIM22	3.663	2.48	2.066	1.09	3.771	-0.012	-4.031	1.353	2.209	2.84	2.408	2.855	1.268	1.813	1.027	0.963	2.132	3.383	3.8	2.727
PAPOLA	-0.449	-0.273	-0.441	-0.557	-0.71	-1.453	-4.949	0.248	-0.932	-0.415	-0.83	0.874	0.37	0.305	-0.049	-0.763	0.326	0.751	-0.062	-0.574
RB1	-1.543	-0.647	-1.208	-1.222	-1.72	-0.82	-0.189	0.285	-0.995	-1.396	-0.922	-1.787	0.078	-1.318	-0.428	-1.093	0.012	-0.176	-0.609	-0.386
C3orf52	3.215	-0.388	-0.679	NA	-0.876	-2.509	-2.049	-1.206	-0.55	-1.695	-0.923	NA	-0.147	-0.045	-0.536	-0.34	-1.049	-0.676	-1.646	-0.66
ZRSR2	0.052	0.09	-0.008	-0.242	-2.307	0.525	-0.185	-0.748	-0.696	0.172	-1.972	-0.204	-1.707	0.046	-0.352	0.507	0.009	-0.228	-0.09	0.185
MZB1	0.189	-0.387	-1.04	-0.116	0.313	2.918	1.225	6.536	1.226	4.27	1.013	3	3.045	3.494	3.727	3.829	3.924	2.494	3.799	1.915
OTUD4	1.869	1.671	1.348	0.404	0.382	1.182	-0.409	1.272	0.199	0.727	0.754	2.2	1.955	0.98	1.467	1.724	1.92	1.977	1.221	2.356
TBC1D1	-2.649	-2.383	NA	-0.588	-0.954	0.154	0.834	2.386	0.086	-0.547	-0.33	-2.61	-0.777	-0.156	-0.661	-2.109	-1.179	-1.206	-0.831	-0.884
TRIM59	1.955	1.953	1.865	2.052	2.066	1.662	1.538	3.393	0.997	1.779	2.135	0.715	2.49	1.251	3.023	2.355	3.137	3.818	3.148	2.598
SNAP23	1.789	1.67	0.667	NA	2.098	0.236	-0.497	1.701	0.655	1.562	0.82	1.126	1.086	0.783	0.537	1.292	0.643	0.379	0.859	1.735
CC2D1B	-0.841	0.516	-1.04	0.798	-0.875	0.894	-1.69	0.061	0.526	0.454	0.194	-0.425	-0.077	-0.123	-0.435	-0.27	-0.236	-0.949	-0.664	-0.532
ACAD8	1.65	2.12	1.167	2.467	1.061	1.231	0.379	0.036	2.399	1.252	0.734	1.393	0.533	1.19	0.71	1.47	1.015	0.221	0.518	0.797
TTR	1.466	-0.166	-0.236	-1.39	0.365	-0.475	0.865	1.486	0.75	0.504	-0.083	-0.102	-0.065	0.318	-0.253	1.31	0.706	-0.432	-1.498	0.236
ANKRD37	-2.422	-2.56	-1.302	-0.82	-2.571	-0.25	-3.608	1.352	-0.94	-1.054	-1.43	-2.996	-0.765	-0.394	-0.199	-1.238	-0.542	-1.029	-0.914	-1.382
WRNIP1	1.09	2.262	0.071	0.729	0.403	-0.129	0.135	2.133	1.526	-0.248	-0.224	-0.858	0.134	0.231	0.321	0.148	0.707	0.946	-0.742	0.717
PLEKHF2	-0.533	0.787	-0.082	-1.117	0.514	0.948	0.739	-0.58	-0.183	-0.157	0.558	-1.04	1.149	0.259	-0.14	-0.045	0.079	1.081	1.307	1.485
FMR1NB	1.568	1.594	2.324	3.466	NA	0.809	0.547	-1.028	1.189	0.459	0.657	0.086	0.401	0.288	-0.301	0.373	0.952	-0.125	3.592	0.459
UAP1	-2.369	-5.305	-3.273	-1.296	-1.181	0.434	-1.042	0.561	-0.977	0.268	-0.765	-2.401	1.78	1.272	0.815	-0.818	0.435	0.779	0.403	-1.078
SNAP23	1.39	2.327	1.788	-0.211	0.19	1.12	-3.161	-0.829	1.045	0.008	1.137	1.581	1.407	0.734	0.378	-0.269	-0.243	1.245	1.749	2.516
SRPRB	-2.034	-2.417	-2.503	-3.536	-1.43	-0.553	-1.926	-0.067	-2.494	-1.008	-2.024	-2.254	0.086	0.24	-0.106	-0.704	-0.218	-1.17	-0.945	-1.288
PSPC1	-3.501	-2.156	-1.668	-2.116	-1.729	-0.849	-1.426	-1.542	-1.818	-1.257	-1.775	-2.546	-1.985	-1.037	-1.294	-2.232	-2.233	-2.055	-1.455	-1.947
TXNRD2	-1.348	-1.678	-1.002	-1.689	-1.536	-0.013	-1.594	-1.576	-0.043	-0.74	-2.304	-1.672	-1.055	-0.662	-0.019	-1.547	-1.806	-1.013	-1.327	-1.045
ATG9B	0.353	0.41	-0.307	1.016	-0.007	0.304	-0.457	-0.023	1.268	0.338	1.539	1.065	0.322	0.576	0.903	0.734	0.26	0.674	-0.37	1.386
GLRX	0.115	-0.63	0.779	-0.793	0.994	1.753	0.749	1.704	-0.173	1.501	0.777	-0.305	1.971	2.561	2.333	1.747	1.479	2.475	1.52	0.588
EHD3	-0.841	-1.494	-1.335	NA	-3.34	0.123	0.615	-0.522	0.273	-1.555	-0.491	NA	-1.952	-1.097	-1.122	-1.663	-0.128	-0.772	-0.645	-0.994
SLC35B3	-0.526	-2.567	-0.944	-2.183	-1.242	-0.27	0.225	-0.693	0.579	-0.352	0.461	0.107	0.188	-0.702	-0.68	1.533	-0.563	0.086	0.674	0.44
ZNF75D	-1.374	-1.031	-1.856	-0.752	-1.439	1.107	0.332	-0.18	0.397	0.042	-0.677	-1.957	-0.487	-0.246	-1.02	1.738	-1.714	-0.428	-2.894	0.414
IER5	0.782	0.923	-0.011	0.547	0.553	-0.585	-0.46	-1.297	0.603	-0.186	1.114	-0.288	-0.925	-0.52	-0.762	-0.929	-0.821	-0.716	0.154	-0.316
ICOSLG	-0.855	-0.046	-0.544	-0.05	NA	0.035	-0.897	-0.381	0.202	-0.338	-0.311	-3.215	-0.189	-0.021	-0.944	-0.533	-1.504	-0.624	-0.716	-0.034
DENND3	1.361	2.213	2.531	1.146	1.394	0.958	1.301	-0.096	0.976	2.465	3.597	1.402	1.4	2.119	2.059	1.901	-0.145	1.494	1.643	1.434
SEL1L	0.017	1.196	-0.541	-0.061	NA	-0.046	NA	1.041	-0.353	2.266	1.031	0.135	0.826	0.549	0.666	1.136	0.716	0.989	0.832	0.92
SVIP	-1.396	0	1.131	0.031	-0.595	-0.03	1.047	-0.318	0.618	0.68	-0.138	0.184	0.375	0.768	1.062	0.609	-0.171	-0.039	0.559	-0.05
RSRC2	-0.952	NA	1.39	-0.941	0.164	0.024	-0.887	0.889	-1.572	-0.918	2.222	0.067	1.019	0.529	1.102	1.942	-1.372	0.139	1.356	1.322
NOL8	-0.63	-0.369	-0.985	-1.058	-0.808	1.166	-2.647	1.351	-0.617	0.197	1.234	-0.363	1.781	1.202	0.726	0.527	2.119	1.454	1.714	0.203
PHLPP1	0.479	1.647	NA	0.358	-0.791	1.262	-0.427	-0.584	-0.986	-0.023	1.133	1.929	0.389	0.914	0.881	5.574	0.668	1.9	NA	0.42
RBM12	NA	-0.404	NA	3.841	4.292	2.284	NA	NA	1.133	1.259	NA	6.098	3.892	8.251	4.092	NA	NA	1.612	2.399	1.271
CDK1	5.018	2.081	NA	NA	3.126	1.164	4.452	NA	2.543	NA	1.684	NA	1.347	2.359	4.139	NA	NA	2.027	3.89	1.34
VMP1	-3.215	4.022	NA	2.035	0.967	9.553	4.501	NA	4.081	5.016	NA	6.811	3.577	4.431	3.046	3.035	NA	3.524	4.55	4.994
STT3B	4.608	1.849	4.015	-1.122	7.021	NA	NA	NA	1.898	NA	1.696	NA	2.868	2.988	3.243	NA	1.362	5.496	3.701	7.579
CXCL3	3.028	2.362	NA	3.804	1.443	3.756	1.395	2.874	-0.112	-1.675	6.278	NA	0.896	5.262	1.705	NA	0.777	4.204	NA	2.684
CLEC3B	1.854	1.296	NA	2.388	NA	3.039	4.761	-1.336	1.483	NA	NA	3.26	0.209	6.979	0.72	7.068	5.244	3.339	NA	1.428
MARCKSL1	1.354	3.366	0.588	NA	NA	2.39	8.104	2.566	7.606	-0.187	5.59	0.614	4.084	2.786	2.087	NA	6.733	4.457	5.951	1.154
ALDH6A1	1.242	1.786	1.109	1.515	0.893	0.662	0.267	0.657	1.814	0.927	0.404	1.422	0.011	0.578	0.411	1.057	0.436	0.35	-0.014	0.318
PSMD9	0.074	-0.106	0.38	-0.525	0.649	0.678	0.085	0.939	0.333	0.879	0.914	0.165	1.13	1.385	1.578	0.639	0.572	1.053	1.02	0.908
LGMN	-3.418	-3.506	-3.484	-2.563	-2.379	-3.284	-1.407	-1.687	-3.246	-2.551	-3.329	-3.594	-4.093	-2.97	-2.41	-3.824	-3.336	-4.241	-2.494	-4.693
APPBP2	-0.066	0.144	-0.06	0.146	-0.585	-1.225	-0.43	-0.35	0.109	-1.229	-1.537	-1.178	-1.425	-1.454	-1.073	-1.545	-1.088	-1.154	-0.831	-1.04
MAP3K4	-1.176	-1.633	-1.297	-2.757	-1.985	0.332	-3.293	-0.287	-1.038	-0.451	-0.625	-1.135	-0.78	-0.542	-0.361	-0.533	-0.615	-0.713	-0.975	-0.847
TAF4	1.886	2.408	1.929	3.388	2.766	1.71	-2.367	0.393	2.6	1.472	1.43	1.712	0.773	0.71	0.51	1.814	1.293	0.879	1.097	0.71
GNL3L	-1.227	-0.467	0.735	0.022	-2.069	0.88	-6.414	1.025	0.555	-0.915	-0.219	-1.66	-0.972	-0.8	-0.012	-0.073	-0.696	-0.236	-1.488	-0.42
TTLL4	-2.041	-0.966	-1.511	-1.663	-1.318	-0.083	NA	0.727	-1.114	-1.684	-1.593	0.227	-1.407	-1.655	-1.451	-2.477	-1.768	-2.082	-1.548	-0.891
POP1	0.254	1.046	1.769	1.629	0.577	-0.168	-2.126	-1.28	0.591	-0.399	-0.012	0.378	-1.435	-1.546	-1.783	-0.505	-0.93	-1.309	-0.868	-1.813
ZC3H12A	-1.071	-1.033	-0.647	-2.015	-0.647	-0.952	-2.719	-2.403	-0.842	-0.429	-0.479	-0.734	-1.427	-1.098	-0.854	-0.391	-1.131	-0.454	-1.092	-0.72
KSR1	0.467	-0.151	-0.069	-0.319	1.331	-0.339	-0.394	0.897	0.69	-0.933	0.326	1.819	-0.937	-1.029	-0.567	NA	3.055	-0.887	-1.865	0.111
LILRA2	5.713	6.361	7.267	3.919	7.281	2.953	0.84	3.902	4.572	6.304	6.084	6.466	4.491	4.893	5.158	4.938	3.97	5.429	6.277	5.519
ERF	-0.358	-1.095	-0.097	0.097	1.688	0.323	-0.568	0.076	0.158	-0.649	-1.536	-3.184	-0.005	-0.861	-0.359	-2.42	-1.63	-0.289	-1.076	-0.46
EED	-1.194	-0.986	-1.351	-2.294	-1.228	0.061	-1.752	0.24	-1.176	-0.779	-0.787	-1.101	0.441	0.551	-0.938	-1.006	0.894	0.553	-0.127	-0.389
BRI3BP	-2.01	-1.294	-1.191	-1.931	-1.565	-1.736	-0.41	-0.393	-1.136	-1.444	-1.814	-0.866	-1.485	-1.011	-0.563	-2	-1.65	-2.576	-2.008	-1.293
HDAC2	-1.716	-2.504	-2.486	-2.488	-1.165	-2.058	-0.547	-3.109	-2.386	-2.283	-1.969	-4.579	-2.09	-1.414	-1.837	-3.194	-2.294	-2.211	-1.105	-1.914
ARHGDIA	-2.234	-1.328	-1.851	-2.356	-0.259	-2.229	0.571	-0.952	-0.973	-0.434	-1.683	-1.032	-2.291	-0.766	-0.513	-1.275	-2.086	-3.401	-1.479	-1.156
GSTM2	-0.259	0.277	NA	0.752	NA	0.023	0.649	-4.768	1.665	1.256	-0.855	-1.943	0.363	1.402	0.627	0.104	NA	0.417	0.51	0.444
BIRC3	2.563	2.535	2.855	0.513	1.049	1.199	-3.622	1.88	1.569	2.23	3.867	0.926	3.282	2.108	1.962	1.564	3.722	4.39	2.796	2.911
PRKCA	-2.111	-0.058	0.503	-6.906	0.047	-0.133	NA	-0.061	-1.379	-2.481	-0.582	-1.038	-1.336	-5.324	-2.432	-0.327	-0.804	-1.319	NA	-0.819
LIFR	-1.985	-1.648	0.07	-2.635	-2.825	-1.059	-2.665	-1.156	-0.497	-1.291	-0.665	NA	-2.023	-2.194	-2.947	0.193	-0.475	-2.126	-0.178	-2.295
TRIB2	-0.828	-0.702	-1.362	-0.836	-1.729	-0.605	-2.676	-0.843	-0.875	-2.03	-0.953	-1.311	-0.82	-1.343	-1.794	-1.666	-1.326	-1.569	-1.875	-0.63
MMP17	-0.529	-2.048	-0.543	0.477	-0.484	0.351	-2.937	-1.015	1.125	-0.546	0.305	-1.801	-0.179	-0.001	-0.912	-1.126	-1.792	0.396	-1.143	-0.241
OSBPL11	-0.15	NA	-0.274	NA	0.13	0.178	-0.676	-0.837	0.288	-0.265	0.807	-0.486	0.372	0.695	-0.026	0.39	0.338	1.457	0.13	0.264
NUP50	0.06	0.754	1.019	0.425	0.607	0.436	-1.131	0.884	0.98	0.733	0.671	0.524	0.155	0.722	0.226	0.462	-0.245	0.929	0.66	0.843
TUG1	-2.764	-2.511	-2.073	-1.724	-1.938	-0.324	NA	-2.715	-0.839	-2.914	-2.879	-2.734	-2.794	-2.587	-3.144	NA	-3.757	-3.093	-2.933	-1.806
CHIC2	1.889	1.478	1.163	0.859	1.034	1.286	0.099	0.574	1.291	0.63	0.459	0.01	1.31	0.834	0.321	0.431	-0.282	1.384	1.011	1.387
PHB2	-0.809	-1.63	-1.08	-2.059	-1.362	-0.387	-1.417	-0.459	-1.057	-1.073	-1.346	-1.606	-0.823	-0.389	-0.434	-0.675	-1.479	-1.405	-1.564	-0.151
MELK	-0.816	-0.425	-0.958	0.445	-0.47	0.16	-1.44	-0.564	-0.443	-0.721	-0.33	-0.767	-1.008	-0.583	-0.69	-0.736	-1.358	-0.926	-0.567	-1.373
EFNA1	-1.986	-4.773	-4.302	-3.905	-5.539	-2.27	-4.027	-2.782	-4.166	-5.031	-5.056	NA	-6.464	-5.862	-6.082	-6.399	-5.556	-6.276	-5.965	-5.296
EFNB2	-2.152	-3.233	-2.415	-2.024	-1.102	-0.566	-4.078	0.614	-0.048	-2.662	-2.036	-3.264	-3.851	-2.326	-2.724	NA	-3.589	-2.215	-2.278	-1.908
NME1	0.363	0.138	0.601	2.063	0.998	1.398	-0.241	0.266	1.554	0.13	0.479	0.015	-0.739	0.335	-1.131	0.188	-0.05	0.005	-0.559	-0.6
GRB2	-1.529	-1.139	-1.612	0.594	-0.866	0.337	-2.446	-0.335	-0.558	-0.829	-0.973	-2.304	-1.575	-0.961	-1.841	-1.383	-1.084	-0.916	-1.6	-1.832
FASN	-1.318	0.089	2.411	-0.755	0.625	-0.427	0.193	1.175	-1.215	-1.786	0.122	-5.672	-1.518	-2.714	-1.224	-2.355	1.026	-0.977	-2.146	-1.855
IFITM2	7.913	7.093	7.5	5.538	8.264	3.103	2.434	3.431	6.286	6.124	5.744	5.262	2.935	3.805	4.269	4.039	2.712	5.102	6.484	5.177
CYP4F3	-0.088	-0.015	0.261	-0.495	0.547	0.052	2.295	1.261	0.253	-1.256	0.368	-0.048	-1.046	0.104	-0.055	0.095	-0.861	0.301	-2.233	-0.035
MXI1	-0.874	-1.974	-1.233	-0.92	-2.056	-0.275	0.319	-1.23	-0.595	-2.67	-3.031	NA	-3.176	-2.428	-2.977	-3.58	-3.508	-2.95	-3.504	-2.215
OGDH	-0.485	-0.106	-1.032	-0.099	-0.873	-1.258	-1.732	-0.04	-0.302	-1.281	-1.973	-1.793	-3.427	-2.876	-1.787	-3.266	-3.095	-3.237	-2.827	-1.853
GLIPR1	3.423	3.603	3.628	2.907	0.805	2.607	0.003	1.733	1.925	1.404	2.041	1.809	3.787	2.583	2.634	2.627	2.826	4.343	2.941	4.352
CD59	0.331	-0.729	-0.287	-1.422	1.547	1.505	0.638	3.182	-0.47	0.877	2.589	-0.011	1.852	2.216	1.509	1.781	1.717	1.164	2.054	1.055
BID	7.616	7.598	7.669	4.986	7.508	3.274	0.319	4.825	5.947	6.823	5.402	7.033	4.694	4.955	6.06	6.319	5.051	4.666	6.343	6.298
BAG4	-0.948	1.276	2.806	-0.621	-0.866	1.321	1.547	0.737	0.896	0.825	4.137	2.321	0.472	1.368	0.351	NA	1.879	0.945	-2.68	0.572
ADD2	-2.839	-1.433	0.411	-2.597	-0.351	-0.311	-1.663	1.679	-0.723	-1.028	-1.513	-1.875	-3.42	-1.666	-2.107	-1.458	-6.371	-1.557	NA	-1.234
MARCO	0.525	0.19	2.613	2.821	-2.347	0.693	0.599	1.979	-0.291	-0.273	-0.464	-1.757	0.66	1.333	0.449	-0.807	0.471	1.825	-0.487	-0.153
MGLL	-6.285	-4.735	1.191	-0.195	-0.348	-1.414	0.859	3.457	0.244	-1.253	-1.438	-2.469	1.68	1.423	0.914	0.767	-0.296	0.484	-3.69	0.875
MED15	-1.113	-2.37	-3.206	-2.794	-1.583	-2.328	-0.557	-0.411	-1.246	-1.899	-2.654	-1.532	-3.399	-2.385	-2.676	-2.877	-3.43	-3.078	-2.763	-1.957
STK17A	-1.407	-1.344	-1.739	-2.096	0.246	1.982	0.214	3.092	-0.397	1.511	0.053	-0.932	2.68	2.672	2.746	1.745	2.177	1.679	1.233	-0.228
MRO	-1.274	-1.542	-1.544	-1.727	-1.323	0.673	-2.168	0.962	-1.444	-0.778	-0.6	-1.98	0.58	-0.074	-0.963	0.131	0.457	1.206	-0.963	-0.82
DAXX	-1.614	-1.793	-1.025	-3.188	-1.761	-1.756	-3.653	-0.901	-1.686	-1.312	-2.098	-1.55	-2.624	-2.336	-1.734	-2.107	-2.441	-2.978	-2.311	-1.896
PC	-2.996	-2.392	-2.472	-3.308	-2.171	-1.903	-1.451	-1.617	-2.042	-1.119	-1.661	-2.236	-2.01	-1.186	-0.929	-1.897	-2.526	-2.76	-1.838	-1.352
DZIP3	NA	NA	0.895	NA	2.82	0.897	0.518	0.715	2.334	0.705	NA	NA	NA	NA	0.503	1.134	1.388	1.883	2.444	0.524
DENND3	1.055	0.268	2.367	-3.086	0.903	1.231	-1.189	0.883	1.197	2.125	3.362	1.15	1.457	1.908	1.457	2.375	1.196	2.042	2.065	1.435
BTLA	1.971	0.635	1.642	0.602	2.175	1.514	0.398	1.955	1.525	2.508	1.898	0.759	4.443	3.152	3.21	2.946	3.843	3.856	2.817	2.986
TCF7L2	-1.649	-0.001	-2.109	-0.279	-0.264	0.041	-2.185	1.69	0.029	-0.457	0.286	-2.154	-0.886	-1.59	-0.633	0.171	-0.782	-1.118	-1.671	-0.569
GCC2	4.28	4.582	5.479	4.045	5.046	1.861	0.256	3.173	2.906	4.169	3.21	3.196	1.75	2.037	3.098	3.977	2.018	2.34	4.355	3.428
NADK	3.862	3.613	4.466	3.05	4.425	0.787	-0.021	1.986	2.617	3.544	2.285	2.169	1.33	1.807	2.417	2.956	1.244	1.681	3.98	2.696
G3BP1	-2.005	-0.543	-1.642	-1.171	-2.093	0.171	-2.493	0.13	0.066	-0.282	0.239	-1.036	0.065	0.096	0.674	-1.192	-0.62	-0.66	0.269	0.325
CBY1	-0.509	-0.639	-0.947	-0.413	-0.661	-0.78	NA	-1.21	-0.126	-0.666	-1.71	-1.185	-0.814	-0.791	-0.809	-0.648	-0.952	-1.063	-1.286	-0.778
