Symbol	GSM998317	GSM998318	GSM998319	GSM998320	GSM998321	GSM998322	GSM998323	GSM998324	GSM998325	GSM998326	GSM998327	GSM998328	GSM998329	GSM998330	GSM998331	GSM998332	GSM998333	GSM998334	GSM998335	GSM998336	GSM998337	GSM998338	GSM998339	GSM998340	GSM998341	GSM998342	GSM998343	GSM998344	GSM998345	GSM998346	GSM998348	GSM998349	GSM998350
BDH2	-2.541	NA	-0.524	NA	-1.033	NA	-0.819	-1.622	-1.399	-0.582	NA	-2.354	NA	1.41	-0.64	0.228	-0.204	2.722	NA	-0.417	-1.896	-2.935	-1.356	3.474	0.148	0.702	-0.382	-1.087	NA	NA	-0.333	NA	2.487
BDKRB1	-0.726	-0.565	-0.709	0.344	0.28	-1.113	0.366	-0.142	-3.018	-1.256	-0.306	-0.261	-3.267	-1.89	-0.673	-1.71	-1.363	0.038	-0.142	-2.118	0.499	-0.36	-1.232	-0.535	-0.439	-0.469	-0.973	-0.675	-2.366	-1.335	-1.338	0.398	-1.203
BDKRB2	1.953	0.0755	0.6065	-1.252	-0.4965	1.89266666666667	1.43833333333333	-0.00850000000000001	0.0983333333333333	-0.121666666666667	0.639333333333333	-0.47	0.0570000000000001	-1.0045	0.659333333333333	-0.695	-0.563333333333333	0.338	1.263	0.00933333333333327	-0.48	-0.273	0.357666666666667	-0.3105	0.824333333333333	-0.234333333333333	0.739666666666667	0.490666666666667	0.392	-0.530666666666667	-0.488	-0.125333333333333	0.252
BDNF	-1.019	1.245	0.485	0.403	0.379	NA	-0.062	-0.013	0.116	-0.042	0.457	-0.634	-0.539	-0.424	0.534	-0.646	-0.675	1.927	0.055	-0.508	1.054	0.687	0.039	-0.287	-1.232	-0.481	-0.215	-0.114	-0.718	-0.852	-1.44	0.845	-0.362
BDP1	1.128	-0.343	-0.778	0.318	-2.644	2.851	-1.023	-4.298	-0.459	0.327	0.237	1.743	-2.45	-2.206	-0.992	0.471	0.208	-0.108	0.166	-0.094	0.985	-0.097	-0.683	0.4	1.223	0.35	0.449	-0.751	1.831	0.381	0.625	0.252	-1.002
BEAN1	-1.645	0.102	0.624	0.218	0.177	NA	0.398	-1.939	2.51	-1.317	-1.534	0.924	0.982	NA	1.712	0.118	0.397	-0.153	-0.753	0.217	0.178	-0.195	1.288	2.518	0.175	-1.269	-1.757	0.853	NA	NA	-0.023	-1.985	-2.241
BEND4	-0.114333333333333	-0.495166666666667	-0.446333333333333	-0.5085	-0.2505	1.01925	-0.604833333333333	-0.0901666666666667	-0.390333333333333	-0.106833333333333	0.252	-0.8196	-0.032	0.175833333333333	0.773	-0.152333333333333	-0.177	-2.0932	-0.392166666666667	-0.1475	0.835	-0.325666666666667	-0.0395	-0.5426	-0.743666666666667	-0.190666666666667	-0.734333333333333	-0.0885	-0.7296	-1.5236	-0.424833333333333	-0.344833333333333	-0.3005
BEST1	2.923	1.993	4.689	1.981	3.18	2.644	3.389	3.753	2.448	4.693	4.393	4.579	3.318	3.312	3.92	3.481	4.313	3.201	4.827	4.206	3.438	3.794	6.328	2.709	2.536	3.431	3.989	4.653	4.368	5.494	4.017	3.363	4.238
BEST3	-0.399	-1.779	-1.232	-3.901	-2.766	NA	0.499	3.575	1.083	-0.6	3.126	-0.433	2.051	-0.183	-1.407	-1.34	-0.844	6.71	-1.368	-0.482	2.441	-1.388	-0.956	1.106	-0.192	-0.477	0.853	-0.16	-1.301	1.921	-0.503	0.154	-1.592
BET1	2.212	1.375	1.521	1.961	1.607	0.917	0.365	2.248	2.605	1.704	2.035	2.159	2.449	2.513	1.587	3.257	3.12	1.521	2.531	2.232	1.997	2.013	1.94	1.303	2.161	2.929	1.866	2.847	2.361	2.433	2.804	2.711	2.779
BET1L	1.317	1.981	0.135	0.172	0.566	-0.675	1.147	0.035	NA	0.62	0.586	-0.413	1.062	-0.48	-0.907	-0.188	0.345	0.368	0.047	0.822	0.953	1.347	-0.629	0.415	-1.483	0.873	-0.662	-0.752	0.31	-0.051	-1.066	-1.208	-0.767
BEX2	-2.701	-2.297	-1.796	-1.257	-1.939	-2.526	-0.611	-1.743	-3.667	-2.073	-1.569	-1.252	-2.115	-0.692	-1.295	-0.789	-1.388	-1.175	-1.855	-1.679	-2.459	-2.482	-2.977	-1.411	0.725	0.344	-0.324	-2.306	-2.183	-2.965	-2.422	0.771	-0.84
BFAR	-0.758	-0.0595	-0.3985	-0.9095	-0.8145	-1.3295	-1.505	-0.02	-1.253	-0.385	-0.284	-0.1015	-0.9135	0.2515	-0.5335	-0.309	-0.3235	-1.37	-0.8995	0.354	-0.4855	-0.652	-0.71	-0.136	0.012	-0.0565	-0.7055	-0.824	-0.033	-0.012	0.1275	-0.351	-0.7705
BFSP1	-0.00933333333333334	-0.304666666666667	0.295333333333333	-0.319333333333333	-0.180666666666667	1.93733333333333	1.20266666666667	-1.044	0.172333333333333	-1.02533333333333	-0.827	-0.474666666666667	-0.04	-0.313666666666667	0.314333333333333	0.259333333333333	0.157666666666667	0.2	0.0453333333333333	-0.442666666666667	-0.939666666666667	-1.03866666666667	0.0726666666666667	0.369	-0.286333333333333	-0.677	-0.141333333333333	0.269666666666667	-0.013	-0.583333333333333	0.075	-0.305666666666667	0.0293333333333334
BFSP2	2.136	1.8685	3.036	0.7265	0.134	-0.878	1.8915	2.37	0.32	3.1015	2.062	1.275	0.892	1.604	1.373	2.2875	2.6105	1.5105	1.5675	2.9045	2.262	1.2525	1.142	2.154	0.5885	3.088	0.911	1.0335	1.941	2.6325	0.3535	1.4585	0.769
BGLAP	0.282	0.778	-0.015	0.449	-2.019	-1.038	-0.574	-0.153	-0.751	1.831	0.088	0.014	-0.391	0.133	1.487	0.643	1.255	0.604	0.286	1.603	0.911	0.815	1.159	1.405	0.47	0.804	0.984	1.377	0.622	0.101	0.55	-0.646	0.849
BGN	-1.345	-0.685	-2.00466666666667	1.4805	-2.24425	-1.0605	-0.4935	1.961	0.528	0.299	-0.611666666666667	2.0735	-2.553	-1.27633333333333	-1.031	0.1405	0.88775	-1.16025	1.457	0.8955	0.211	0.12975	0.5895	1.07333333333333	0.10975	2.1755	-0.2165	-0.984333333333333	1.21225	0.397333333333333	0.68425	0.233	-0.40375
BHLHE40	-3.327	-1.97733333333333	-2.103	-3.075	-1.12933333333333	-1.6925	-1.35466666666667	-2.19566666666667	-2.10833333333333	-2.30066666666667	-1.60633333333333	-2.248	-1.66966666666667	-2.38666666666667	-2.31	-3.06066666666667	-2.82066666666667	-2.72666666666667	-1.394	-2.58833333333333	-2.37333333333333	-1.286	-3.197	-2.85	-2.10166666666667	-2.12633333333333	-2.85533333333333	-1.38766666666667	-2.46833333333333	-2.01166666666667	-2.69666666666667	-2.018	-2.465
BHLHE41	-2.089	-2.094	1.13	-0.281	-2.274	0.848	-0.09	-1.414	-3.107	-2.155	-1.211	-2.57	-2.544	-2.197	0.006	0.213	-0.972	-2.18	-2.366	-0.984	-0.904	-1.372	-2.31	-0.341	-2.77	-2.547	-1.839	-1.178	-1.544	-2.229	-2.66	-3.086	-2.499
BHMT	-0.471	1.938	0.3415	-0.257	-0.417	-0.115	0.1265	-0.4875	-0.2225	-1.2225	-0.287	-0.6845	-0.3905	2.123	0.115	-0.027	-0.302	-0.976	0.891	-0.5165	0.068	1.95	0.244	-0.5215	-2.459	-0.6085	-1.132	-0.4025	0.1515	-0.453	-0.4675	-0.064	0.081
BICD1	-1.97733333333333	-1.0074	-1.571	-1.21666666666667	-0.919	1.786	-1.161	-1.02883333333333	-1.7742	-1.118	-0.756166666666667	-1.40183333333333	-0.695	-1.57616666666667	-1.19316666666667	-1.18783333333333	-1.3535	-1.74016666666667	-1.7275	-1.1085	-1.3305	-1.56116666666667	-1.72383333333333	-0.779666666666667	-1.3635	-2.05116666666667	-1.22	-1.08316666666667	-0.989833333333333	-1.4735	-1.13166666666667	-1.82766666666667	-1.0075
BID	1.3118	0.3632	1.2522	0.6608	2.3772	0.401	1.66	1.5988	2.05175	1.5486	1.6494	1.5174	2.0762	0.9678	1.2354	1.3552	1.4274	1.2532	1.9318	1.7118	1.5678	1.6524	2.4178	0.976	0.3086	1.7602	1.4232	2.271	1.424	1.9248	1.8706	1.3918	1.4222
BIK	2.53675	3.12625	2.115	1.87525	1.5165	-0.3765	2.08175	2.149	1.66725	1.86375	2.01325	1.45625	1.94625	1.68475	1.901	1.421	2.17725	2.433	2.34875	2.552	2.12775	1.961	2.0445	1.94875	0.9445	1.1995	1.5315	2.0165	0.9595	1.784	0.99475	1.787	2.154
BIN1	0.5315	0.1255	-0.055	-0.2785	-0.556	-2.545	-0.438	0.08	0.1505	0.8535	0.9085	0.5	0.7695	1.4185	2.383	0.8775	0.4635	-0.0435	1.16	1.0605	-0.1565	2.158	1.262	0.4765	1.714	-0.253	1.085	1.1465	0.115	1.181	1.199	0.764	1.8205
BIN2	4.672	3.667	4.0775	3.25275	4.1675	1.54	2.9895	3.637	4.49025	4.42525	4.63575	4.759	4.561	4.6595	4.272	3.1735	4.35275	4.759	4.3	4.36875	3.84675	4.44125	5.089	4.0865	4.4255	4.23525	4.034	5.00125	4.6675	5.02025	4.591	5.01575	5.1675
BIRC2	0.1605	-0.13675	-0.266	1.395	0.694	-1.15166666666667	-1.446	0.465	0.16625	-0.32025	0.27775	1.25975	-0.14925	1.98875	-0.5055	1.48525	0.4895	-0.85825	0.74	-0.22675	0.3115	-0.32225	-0.5615	1.224	1.228	1.35525	0.914	-0.46825	0.77475	1.02675	0.61975	1.8755	0.0965
BIRC3	1.6225	1.345	0.7675	2.26714285714286	1.09685714285714	-0.178333333333333	0.858428571428571	1.53266666666667	0.774	1.966	2.17416666666667	3.3335	2.47457142857143	3.27457142857143	1.57042857142857	2.285	1.64042857142857	0.9185	2.66671428571429	1.65842857142857	1.98014285714286	1.338	1.16614285714286	3.32914285714286	4.149	3.92857142857143	3.47466666666667	1.86042857142857	2.69214285714286	2.05433333333333	2.41157142857143	4.16683333333333	2.71885714285714
BIRC5	-3.482	-3.42333333333333	-2.04966666666667	-2.42633333333333	-2.761	0.108	-1.48033333333333	-0.252	-2.928	-1.35833333333333	-3.00666666666667	-1.79866666666667	-2.631	-3.254	-2.26266666666667	-1.66833333333333	-0.0203333333333333	-2.91466666666667	-3.89733333333333	-0.500666666666667	-2.013	-2.579	-3.91566666666667	-1.92366666666667	-4.61366666666667	-1.90533333333333	-4.26266666666667	-4.13433333333333	-1.74233333333333	-4.13633333333333	-1.772	-3.78866666666667	-3.253
BIRC6	0.0342	-0.1994	0.2965	0.0878	-0.6424	-3.91475	-1.0262	0.4794	-0.3866	0.6418	0.7282	0.0204	-0.801	0.591	0.054	-0.4556	-0.7898	-0.916	-0.5868	0.4104	0.0722	0.1086	1.1546	0.1542	0.3298	0.192	0.764	0.917	-0.1408	1.6448	0.7964	0.623	0.2104
BIVM	-2.284	-2.135	-1.5945	-1.845	-0.1715	-1.99	-0.643	-0.7165	-1.059	-2.4855	-1.368	-1.7505	-1.3755	-1.9025	-2.2205	-1.7605	-2.569	-1.731	-1.495	-1.7185	-1.5875	-4.9925	-1.9785	-2.912	-1.255	-1.659	-1.476	-1.4255	-2.7265	-1.0125	-1.689	-1.9605	-1.574
BLCAP	0.337	-2.408	-0.487	0.738	-1.3355	0.159	1.742	0.3475	-0.811	-0.083	-0.262	0.368	-0.0855	-0.1595	1.645	-0.5565	-0.4675	0.282	-0.374	0.0745	-0.429	-0.294	0.8275	-2.178	0.9885	-0.216	-0.7135	-0.8415	0.0730000000000001	1.3815	0.3455	0.1695	1.5595
BLK	-0.833166666666667	-0.716666666666667	1.04633333333333	0.7018	-0.9844	1.5576	-0.336166666666667	0.623	-0.497	0.3965	0.324833333333333	0.3782	-0.4264	0.161	0.5234	0.109166666666667	0.4625	0.706166666666667	-0.0388	0.622166666666667	0.959	1.61366666666667	0.501333333333333	0.868666666666667	0.668	0.5905	0.272166666666667	0.615666666666667	1.4415	1.1425	0.323666666666667	0.113166666666667	0.256833333333333
BLM	-1.8716	-1.583	0.0282000000000001	0.18675	-1.298	1.25966666666667	-1.002	0.6538	-2.15675	-0.8494	-1.749	-0.1744	-0.8678	-1.3474	-1.6288	-0.6474	-0.4356	-1.7734	-1.9894	0.2366	-0.1198	-1.414	-2.032	0.3292	-1.509	0.1076	-1.796	-1.2988	-0.6686	-1.6636	0.0244	-1.474	-1.045
BLMH	-1.48266666666667	-2.554	-1.96166666666667	-1.28966666666667	-1.41733333333333	-0.409333333333333	-1.71433333333333	-0.814666666666667	-1.21833333333333	-1.02166666666667	-1.24	-1.28	-1.12533333333333	-0.532	-0.693	-1.18566666666667	-0.390333333333333	-1.61533333333333	-1.23533333333333	-0.556333333333333	-1.26266666666667	-0.835666666666667	-0.905	-0.935666666666667	-0.383666666666667	-1.84066666666667	-0.801	-0.700333333333333	-1.101	-1.47966666666667	-0.578333333333333	-0.749666666666667	-0.728
BLNK	0.036	-0.774666666666667	0.066	1.156	0.361333333333333	0.176833333333333	-0.477333333333333	1.979	0.350333333333333	1.64833333333333	0.114333333333333	0.906666666666667	-0.927666666666667	0.5535	0.254166666666667	1.72	2.06066666666667	0.293333333333333	0.494333333333333	2.08733333333333	1.29933333333333	0.511666666666667	0.663666666666667	1.65533333333333	1.086	1.03883333333333	0.3245	0.136666666666667	1.29166666666667	-0.0301666666666667	0.911333333333333	0.165166666666667	0.373666666666667
BLOC1S1	1.21	1.158	2.182	1.69	2.35	0.579	1.813	2.688	1.387	1.372	1.293	1.32	1.025	1.142	1.17	0.888	1.5	1.451	0.374	1.726	2.265	1.238	0.9	1.536	0.465	2.648	0.553	0.576	1.656	1.275	1.545	0.976	1.228
BLOC1S2	-1.04	-1.014	-0.693	0.062	-0.331	1.934	0.138	2.761	0.321	0.963	0.58	-1.718	-0.377	0.299	0.855	-0.513	0.08	-0.865	0.016	0.078	-0.159	-0.353	-0.384	1.357	0.485	0.896	-0.397	0.45	2.989	0.676	-0.162	0.078	0.646
BLVRA	-1.571	-1.504	-0.849	-1.189	-1.064	-3.113	-0.819	-1.702	-1.086	-0.47	-1.255	-0.59	-2.267	-0.063	-0.346	-0.927	-0.691	-1.383	-1.932	-0.532	-1.088	-0.735	-1.888	-1.331	-1.926	0.077	-1.175	-0.833	-0.427	-2.082	-1.015	-1.617	-1.279
BLVRB	1.322	1.688	0.688	-0.781	0.471	NA	2.722	-1.337	1.14	0.186	2.222	-0.477	2.068	1.992	0.776	-2.122	-2.28	1.011	2.243	-0.538	-1.435	0.712	1.184	-2.538	-1.293	-0.793	4.835	1.094	-0.477	1.615	-0.513	0.843	1.985
BLZF1	0.08125	0.6055	1.11425	0.72625	0.04875	1.71133333333333	-0.441	1.22825	0.736	0.366	1.37025	2.13025	1.6645	0.049	-0.84225	0.9395	0.61625	-0.18625	0.40625	-0.34875	0.674333333333333	0.00650000000000001	-0.39025	0.92775	0.91025	1.54575	0.75525	0.208	1.2865	1.48025	0.40325	1.15875	0.29
BMF	-0.464	0.125	-0.1195	0.5305	0.0935	-0.4985	0.1675	0.5775	0.755	2.319	0.601	1.5245	0.0155	-0.2145	0.2505	1.686	1.833	1.1935	1.1715	2.536	1.8885	1.363	1.2845	3.1745	0.7105	0.882	1.5205	1.002	1.375	0.2465	0.859	0.966	1.366
BMI1	-0.309	-1.9416	-0.0241999999999999	-0.3086	0.3126	0.44175	-1.4644	-0.1966	-0.6108	-0.8956	0.0862	0.1972	-0.8226	0.3188	-0.8164	1.107	0.1194	-0.3804	-0.1002	-0.3826	0.4314	-0.8668	-0.6242	0.2762	1.1446	0.9898	-0.054	-1.099	0.4632	-0.2476	0.2066	0.9698	-0.655
BMP1	-2.2275	-3.188	-4.109	-3.1095	-1.8405	-0.627	-1.008	-2.817	-3.927	-3.7915	-3.281	-5.175	-2.9055	-3.666	-3.286	-4.5165	-2.899	-4.221	-3.504	-3.7155	-4.1445	-3.6355	-2.539	-4.628	-2.94	-4.4015	-3.6745	-2.514	-4.3765	-3.9605	-2.8355	-4.5285	-2.8455
BMP2	-3.795	-2.286	-3.055	-2.97	-1.984	-0.855	-2.083	-3.775	-4.688	-3.897	-4.243	-4.071	-3.654	-3.866	-2.879	-4.233	-4.487	-3.72	-2.7	-4.746	-3.566	-3.212	-3.98	-3.806	-4.164	-4.465	-3.09	-3.574	-4.042	-3.682	-4.622	-4.05	-3.77
BMP2K	0.486	-0.280333333333333	0.484666666666667	1.3	-0.0266666666666667	0.0706666666666666	-2.1015	0.665	-0.674666666666667	0.466	0.426333333333333	1.361	0.439333333333333	0.423666666666667	-0.394333333333333	0.837333333333333	0.417333333333333	-0.749	0.802333333333333	0.857333333333333	0.540666666666667	-0.619	1.15833333333333	1.17566666666667	1.10633333333333	2.03366666666667	1.34166666666667	0.134	0.109	1.06233333333333	1.19966666666667	1.13966666666667	0.0863333333333333
BMP4	-2.0855	-1.938	-1.7555	-2.2815	-0.91	-0.05	-1.1485	-0.889	-2.132	-1.921	-2.267	-2.219	-2.0915	-2.2495	-2.399	-1.463	-2.944	-3.235	-1.588	-2.1975	-3.766	-3.996	-2.407	-1.5235	-2.5	-2.0195	-1.744	-1.5355	-1.2875	-1.398	-1.6585	-1.9095	-1.07
BMP5	2.264	1.723	2.573	2.817	4.08	3.66	1.68	2.67	1.788	2.01	1.215	1.831	2.314	2.378	1.569	1.524	1.732	3.386	2.138	1.912	1.647	1.263	2.213	2.46	1.605	3.209	1.914	2.209	2.365	1.457	2.862	2.107	3.305
BMP6	2.1065	1.7545	1.654	0.4745	0.1735	2.36	2.2395	1.6585	1.1235	1.407	2.6925	-0.701	1.065	0.8845	1.182	0.6455	1.275	1.4165	1.4745	1.3515	0.8695	1.2	2.1085	0.138	-0.8175	0.00700000000000001	0.267	1.809	1.856	1.794	1.0055	0.982	1.203
BMP7	-3.163	-2.4842	-3.8092	-3.5346	-1.9578	-3.4636	-1.254	-2.7926	-3.5238	-4.5362	-3.4524	-3.6962	-3.024	-3.52	-3.9312	-3.907	-4.4764	-2.2786	-3.1224	-4.5476	-3.3642	-4.2546	-3.7246	-4.3832	-3.894	-4.5366	-3.8128	-3.4842	-4.2288	-3.7362	-4.2554	-4.2462	-3.1756
BMP8A	-0.054	-1.001	0.942	0.717	-2.804	NA	-1.985	0.632	0.194	0.844	0.695	-0.061	-0.158	-0.146	0.617	0.663	1.592	0.52	2.333	1.159	0.114	-0.256	0.387	0.102	0.709	1.661	0.71	0.84	1.629	1.043	1.104	-0.304	0.242
BMPR1A	-1.3835	-0.81775	-0.0823333333333334	-0.74	-1.136	-2.48625	-0.613	-0.46125	-0.24725	-0.80825	-0.76675	-0.97875	-1.1655	-0.96975	-1.289	-0.46	-0.9525	-0.80875	-1.18	-1.42075	-0.362	-1.14	-1.10525	-0.955	-0.60375	-1.2135	-0.6365	-0.976	-0.858	-1.8845	-1.21475	-0.71375	-1.232
BMPR2	-0.78825	-0.08775	-0.1525	-0.8325	-1.38325	-3.1245	-1.31	-0.471	-0.7295	-0.89325	-0.73	-0.6275	-2.11975	-0.5305	-0.81125	-0.77475	-1.338	-1.1705	-0.63425	-0.969	-1.04325	-0.6925	-0.4805	-0.79225	-0.90225	-0.933	-0.73625	-0.90925	-0.556	-1.12925	-0.80525	-0.99325	-1.02075
BMS1	-1.11566666666667	-1.22233333333333	-1.87566666666667	-0.787666666666667	-0.995666666666667	0.784333333333333	-1.00866666666667	-0.756	-0.358	-1.01166666666667	-0.893666666666667	-0.839	-1.56166666666667	-0.956666666666667	-2.4725	-1.39033333333333	-0.194666666666667	-0.392333333333333	-0.84	0.0233333333333334	-0.568666666666667	-1.05633333333333	-1.36366666666667	-0.857666666666667	-0.130666666666667	-1.68133333333333	-0.999333333333333	-0.707	-1.25733333333333	-1.952	-1.04833333333333	-1.179	-0.851333333333333
BMX	0.0335000000000001	1.829	1.5825	0.2085	2.11	-2.015	-0.018	0.767	0.8445	0.888	2.0385	1.686	1.541	3.256	0.7315	0.9835	0.8235	3.092	1.8925	0.2285	0.5135	1.1825	1.434	1.1235	0.497	2.1885	1.142	2.3325	2.54	0.83	1.4255	1.7615	1.39
BNC1	-0.44	1.127	0.671	0.864	0.2	-1.246	0.945	0.152	0.038	0.706	0.785	0.677	0.863	-0.484	0.284	0.142	0.387	-0.208	1.092	0.13	1.714	0.681	0.809	-0.121	-0.37	0.604	0.504	1.194	0.057	-0.833	-0.509	0.91	0.473
BNC2	-2.714	NA	-1.515	-0.837	-3.237	1.908	-0.355	-0.708	-2.592	-2.867	-1.548	NA	-1.572	-1.238	-1.885	-2.092	-2.12	0.675	-1	-1.722	-1.517	-2.175	-1.07	-8.137	-5.459	-2.49	-2.102	-2.009	-2.966	-3.668	-3.046	-2.737	-3.968
BNIP1	-0.827	-1.5405	-0.42375	-0.07525	-0.483	1.4795	0.05775	0.32175	-1.61975	-0.68575	-0.94375	-0.0465	-1.0615	-0.64275	-1.282	-0.12	-0.29275	-1.5665	-1.64175	-0.45975	-0.6825	-1.08725	-1.498	-1.39625	0.01325	0.414	-0.91975	-1.27475	-0.7185	-0.581	-0.74825	-0.47275	-0.3515
BNIP2	1.5115	0.67025	0.816	1.84275	1.9675	-0.968	0.313	2.04875	1.25075	1.1565	1.8295	3.19075	1.6865	2.6385	0.53	2.677	2.56975	1.16675	2.2445	1.8915	1.9595	0.623	1.83475	1.915	2.2325	3.38775	1.7575	1.53675	2.22425	2.32675	2.34575	3.1415	2.47225
BNIP3	-2.6865	-3.958	-2.6825	-2.24925	-3.40425	-0.71125	-2.4695	-1.7085	-4.293	-4.62833333333333	-3.68333333333333	-2.02125	-4.05733333333333	-3.881	-3.13425	-2.1565	-3.1695	-2.77075	-3.81933333333333	-3.72475	-4.26766666666667	-4.82766666666667	-2.7845	-4.01	-2.3075	-1.778	-3.46	-3.0965	-3.98	-3.445	-4.0995	-2.956	-4.098
BNIP3L	0.54625	1.2605	0.4705	0.00575000000000001	-0.037	-1.42575	1.362	-0.271	1.65625	-0.50775	1.34475	-0.9345	1.60725	2.12075	1.178	-0.71325	-0.828	0.63225	1.9195	-0.7255	0.00474999999999998	0.9765	1.45425	-0.73925	-0.0765	-0.19475	0.6835	0.13075	-0.138	1.0765	0.098	0.99375	1.11775
BOC	-1.137	-0.8455	-1.44	-0.3615	-0.79	2.1015	-1.0135	-0.2895	-1.7325	-1.0595	-0.572	-0.6795	1.024	-0.2355	-0.861	0.037	-0.321	0.36	-0.005	-0.6305	0.175	-0.1685	-0.461	-0.6415	0.4495	-0.249	-0.555	-0.5295	-0.7995	-1.5825	-0.5525	-0.5015	-0.8
BOD1	-2.362	-2.439	-3.294	-2.295	-0.808	-1.704	-2.11	-1.619	-2.966	-2.869	-2.581	-1.696	-2.619	-2.122	-3.006	-1.295	-1.666	-2.812	-2.269	-2.042	-2.396	-3.04	-2.106	-2.014	-1.128	-1.729	-1.58	-2.643	-1.783	-2.278	-2.067	-0.9	-1.82
BOK	-0.593	-0.680666666666667	-1.00533333333333	-1.71633333333333	-3.23633333333333	-3.2565	-1.22666666666667	-1.87366666666667	-0.520666666666667	-1.316	-1.013	-1.554	-0.979	-0.506	-2.02233333333333	-1.461	-1.752	-0.732666666666667	-0.664	-1.905	-3.32166666666667	-1.935	-0.609	-2.01766666666667	-1.22966666666667	-1.88733333333333	-1.505	-0.597666666666667	-2.198	-1.26433333333333	-1.15966666666667	-1.748	-0.729666666666667
BOLA2	-1.033	NA	0.302	0.798	-0.52	5.819	NA	1.796	0.326	0.727	-0.063	-1.524	-0.937	1.616	-0.856	-0.664	0.941	-0.571	0.668	1.444	NA	1.437	-1.245	-0.002	0.517	0.544	-1.023	0.521	0.258	-0.27	-0.098	-2.937	-1.198
BORA	-2.19	-0.858	-1.65	-0.457	-1.138	-4.65	-1.519	0.096	-1.511	-0.348	-0.818	-0.915	-3.071	-1.644	-0.711	0.873	0.473	-3.342	-0.5	0.058	-1.161	-0.959	-0.78	-2.642	-0.477	0.891	-1.228	-1.221	-0.66	-1.078	-0.273	-0.769	-1.149
BPGM	2.275	2.745	2.591	-3.545	0.424	NA	NA	-0.541	-1.36	2.577	3.13	1.385	4.14	2.935	NA	1.546	2.075	0.955	0.48	1.52	2.673	4.746	0.233	2.995	3.381	3.089	1.82	1.016	NA	1.839	2.608	0.243	3.126
BPHL	-2.815	-0.714333333333333	-2.05033333333333	-0.730333333333333	-0.638	0.53	-0.796	-0.441333333333333	-1.34933333333333	-1.668	-1.442	-1.72633333333333	-1.45633333333333	-1.81266666666667	-1.554	-2.131	-1.78566666666667	-3.38266666666667	-1.577	-1.349	-1.86766666666667	-1.27333333333333	-1.002	-1.55	-1.45433333333333	-1.876	-1.69133333333333	-0.905333333333333	-1.82633333333333	-0.929666666666667	-1.35733333333333	-0.988666666666667	-1.555
BPI	0.6072	0.6804	3.4292	-0.357	0.00279999999999999	-0.1318	0.369	2.1788	1.8994	2.356	0.6312	-0.00579999999999998	-0.455	-0.581	-0.591	-0.00139999999999993	1.2944	1.5208	-0.102	0.3976	3.716	-0.0569999999999999	0.3704	-0.3908	-1.5578	1.803	-0.5026	-0.178	0.872	0.5514	-0.0914	-0.3466	-0.833
BPIFA1	-2.88	-2.096	-3.323	-3.006	1.083	-7.128	0.852	-2.342	-1.655	-3.152	-1.468	-4.416	-1.225	-1.757	-3.737	-3.934	-4.117	-1.995	-2.83	-4.328	-5.168	-2.566	-3.96	-3.279	-5.114	-3.995	-4.017	-0.74	-4.099	-1.49	-1.951	-2.666	-1.519
BPIFB4	-1.549	-1.733	-2.123	-3.04	-1.145	-0.437	-0.124	-1.509	-1.84	-3.315	-1.956	-3.958	-0.764	-1.639	-1.936	-3.479	-3.819	-1.273	-0.079	-5.558	-3.69	-3.17	-3.221	-4.439	-2.904	-3.594	-2.241	-0.973	-4.179	-2.326	-2.619	-3.305	-2.562
BPTF	-0.714	-1.15966666666667	-0.771333333333333	-0.772	-0.61	3.36666666666667	-0.647	-0.283	-1.73433333333333	-0.653	-0.100333333333333	-0.302666666666667	-0.700333333333333	-0.546	-1.051	-1.28366666666667	-1.64933333333333	-2.15233333333333	-0.499	-0.137	-0.638333333333333	-0.0516666666666667	-0.216	-0.977333333333333	-0.409666666666667	-0.850333333333333	-0.436333333333333	0.0983333333333333	-0.309666666666667	-0.656333333333333	-0.0223333333333334	-0.613333333333333	-0.914666666666667
BRAF	-1.016	-0.953	-0.321	-1.0595	-1.74325	-0.797666666666667	-0.9235	-0.46725	-0.376	-0.171	-0.9245	-0.63525	-0.51175	-0.80975	-0.656	-0.4265	-0.1525	-0.8585	-1.0275	-0.23225	-0.716	-0.645	-0.224	0.5955	-0.56375	-0.33325	-0.514	0.4505	-0.57725	-0.9745	-0.23825	-1.1905	-0.6745
BRAP	1.369	0.1995	2.056	0.471	1.3505	0.6815	0.7725	0.142	0.3935	1.474	1.2585	1.175	0.3615	1.3635	1.774	1.587	1.36	-1.225	2.223	1.5455	1.802	1.4055	1.5765	1.9745	1.779	1.538	1.8575	1.8015	0.8665	2.2965	1.442	1.163	0.602
BRCA1	-1.56525	-1.267875	-0.38	-0.987	-0.6315	0.983	-0.91775	0.3325	-2.02342857142857	-0.90225	-1.825625	-0.227	-1.375625	-1.20375	-0.3725	-0.4385	-0.26975	-0.649714285714286	-1.38825	-0.312375	-0.415125	-0.5265	-1.131375	-0.60825	-1.43575	-0.025375	-1.142	-0.976375	-0.494	-0.9735	-0.71025	-1.129875	-1.3835
