Symbol	GSM620832	GSM620833	GSM620834	GSM620835	GSM620836	GSM620837	GSM620838	GSM620839	GSM620840	GSM620841	GSM620842	GSM620843	GSM620844	GSM620845	GSM620846	GSM620847	GSM620848	GSM620849	GSM620850	GSM620851	GSM620852	GSM620853	GSM620854	GSM620855	GSM620856	GSM620857	GSM620858	GSM620859	GSM620860	GSM620861	GSM620862	GSM620863	GSM620864	GSM620865	GSM620866	GSM620867	GSM620868	GSM620869
CUL5	0.299	0	0.563	1.041	0.672	0.784	1.959	0.574	0	1.228	1.011	1.19	1.238	1.073	0.569	0.805	0.785	0.844	0.547	1.463	1.19	0.991	0.542	0.74	0.39	0.917	0.646	0.661	0.533	1.655	1.11	0.749	1.067	0.971	1.861	0.667	1.337	1.084
CUL7	0	0	0	0	0.712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.381	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf38	0.929	1.295	1.243	1.271	1.482	1.624	1.679	1.304	1.753	0.358	1.371	0.44	2.098	1.553	1.099	0.605	1.755	1.824	1.087	1.913	1.54	0.901	0.622	1.81	1.42	1.597	1.226	1.141	1.763	1.705	1.09	0.339	1.257	0.911	1.731	0	0.157	0.194
CYB5D1	0	0	-0.757	0	0	0	0	0	0	0	0	0	0	0	-0.511	0	0	0	0	0	-0.09	0.221	-0.398	-0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5D2	0	0	0	0	0.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0
CYB5R1	0.089	0.095	0.323	0.241	0.902	0	-0.321	-0.346	0.623	-0.652	-0.749	-0.6	0.248	0.063	-0.161	0.065	0.215	-0.206	-0.113	-0.637	-0.29	-0.079	0	-0.34	-0.06	-0.243	0.136	0	0.163	-0.085	-0.52	-0.621	-0.253	-0.099	-0.199	0	-0.263	-0.556
CYB5R2	0.059	0.205	0.203	0.241	0.582	0.274	0.249	-0.226	0.303	-0.222	-0.159	0	0	0.453	-0.451	0	-0.045	0	-0.023	0	0.15	0.361	0	0.27	0.5	0.257	-0.334	-0.169	0.223	0	0.17	-0.581	0.007	-0.169	0.171	0	-0.123	0
CYB5R3	0	0	0	0	0.452	0	0.009	0	0	0	0	0	0	0.243	0	0	0	0	0	0	0.03	0.361	0	0	0	0	0	0	0.213	1.045	-0.09	0	0.117	-0.289	-0.209	0	0	0
CYB5R4	0.449	-0.005	0.483	0.391	-0.828	-1.346	-0.931	-1.706	-1.947	-0.412	-0.769	0.25	-2.222	-1.017	-1.731	-1.425	-1.855	-1.266	-1.053	-1.427	-1.31	-1.949	0	-1.27	-1.26	-0.693	-1.384	-2.039	-1.567	-2.015	-0.37	-0.201	-2.023	-0.849	-1.099	-0.913	-0.143	-0.516
CYBRD1	1.179	0	0.313	0.751	-1.039	0	0	0	0	0	0	-1.075	0	0	0	0	0	0	0	0	0	-1.6145	-1.454	0	0	0	0	-1.5045	0	0	0	-1.1905	0	0	0	-1.1215	0	0
CYCS	-0.931	0	-1.347	-0.839	-1.568	0	0	0	0	0	0	-1.05	0	0	-1.411	-1.165	0	0	-1.523	0	-1.26	-1.549	-1.148	0	0	0	0	-1.209	-1.787	0	0	0	0	-1.359	0	0	0	0
CYFIP1	-0.571	-1.165	-0.877	-1.049	-1.488	-1.816	-1.221	-1.686	-1.107	-2.382	-2.419	-1.45	0	-1.027	-1.471	-1.905	-1.835	-1.236	-0.943	-1.857	-1.87	-1.529	-1.128	-1.56	-0.92	-0.403	-1.124	-1.069	-0.927	-2.225	-1.59	-1.871	-2.413	-1.929	-1.699	-1.063	-1.693	-1.246
CYFIP2	0.549	0.805	0.433	0.681	1.872	1.644	1.229	1.094	1.513	0.248	1.441	-0.04	1.218	1.453	0.909	0.855	1.685	1.344	0.727	1.593	1.1	0.881	0.382	1.04	0.86	0.247	1.036	1.151	1.283	2.025	0.61	-0.151	1.827	1.011	1.111	0.617	-0.003	-0.176
CYGB	0	0	0	0	0.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0.501	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0
CYP3AP2	0	0.695	0.843	0.821	1.372	0.614	0.259	0	0	0	0.191	0	0	0.603	0	0	0	0.384	0	0	0.42	0.271	0	0	1.14	0.877	0	0	0.603	0	0.42	0	0	0	0.071	0	0.147	0
CYSLTR1	0.239	-0.125	0.033	0.281	0.012	0.014	0.899	0.424	-0.197	-0.192	-0.339	-0.37	0	-0.157	-0.441	-0.165	-0.425	0	-0.133	0	0.64	-0.029	0.152	0.34	0.77	1.197	0	-0.139	0.143	-0.465	-0.08	-0.461	-0.433	-0.309	-0.019	0	0.467	-0.166
DAAM1	0	0	0	-0.249	0	-0.276	0	-0.266	-0.477	0.178	0	-0.01	0	-0.217	-0.331	-0.165	0	0	-0.433	0	-0.1	0	-0.438	0	-0.25	0	0	-0.429	-1.007	0	0	-0.201	-0.323	-0.399	-0.119	-0.203	0.367	0.064
DAAM2	0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB2IP	0	0	0	0	0.246	0	0	0	0	0	0	0	0	0.1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0615	0	0
DAD1	0.199	0.425	0.703	0.451	0.702	1.244	0.469	1.264	1.153	1.398	0.951	1.02	0.788	0.563	1.059	1.495	0.905	0.734	1.467	1.103	0.6	1.541	0.982	1.15	1.12	0.837	1.046	0.851	1.023	0.915	1.65	1.339	1.027	1.611	0.891	0.657	2.067	1.594
DALRD3	0.369	0.775	0.523	0.601	0.942	0.414	0.499	0.864	0.823	0.388	0.761	0.36	0.678	1.043	0.729	1.185	0.865	0.804	0.527	1.033	0.54	0.531	0.252	0.73	1.07	0.587	0.836	0.851	1.063	0.835	0.58	0.629	0.667	0.661	0.361	0.427	0.677	0.274
DAP3	-0.2805	0	-0.3085	-0.3395	-0.154	0.022	0	-0.043	-0.1685	-0.031	-0.0445	-0.3	0	-0.0235	-0.0255	0.0725	-0.1425	-0.108	-0.0215	0	-0.105	-0.2395	0	-0.305	-0.28	-0.4715	0.098	-0.1995	0.0765	-0.3425	0.04	-0.1355	-0.1265	-0.139	-0.1945	-0.0915	-0.1965	-0.433
DAZAP1	0.109	0	0	0	0	0	0	0.514	-0.247	0.038	0	0.13	0	0	0.189	0	0	0	0.177	0	0	0.041	-0.158	0	0	0	0	0.091	0	0	0	0.119	0	0.231	0	-0.313	0	0.024
DAZAP2	0.249	-0.115	-0.037	-0.279	-0.738	-1.496	-1.301	-1.436	-0.987	-1.102	-1.009	-0.93	-1.182	-1.417	-1.521	-1.415	-1.295	-1.406	-1.233	0	-1.4	-2.049	-0.668	-1.67	-2.47	-0.953	-0.594	-1.459	-1.317	-1.265	-0.99	-0.971	-1.233	0	-1.209	-0.503	-1.513	-1.656
DBN1	0.989	0.775	0.783	0.851	1.472	0.764	0	1.404	2.073	0.298	1.031	0.56	0	0.263	0.999	1.265	1.235	0	0.687	0	0.65	0.981	0.822	1.33	0	1.287	1.406	0.851	1.863	1.775	0	-0.141	1.847	0.981	0	0	0	0
DBT	0.2945	0	0.4465	0.5305	0	0	0	0.614	0.3265	0.629	0	0.755	0	0	0.664	0.4	0.2775	0	0.4235	0	0	0.626	0.501	0	0	0	0	0.561	0.1965	0.7575	0	0	0.7435	0.696	0	0.5035	0	0.752
DCAKD	0	0	-0.247	-0.059	0.032	0.034	-0.011	0	-0.077	-0.162	-0.389	0	-0.302	0.173	0	-0.095	-0.475	-0.476	-0.323	0.083	-0.23	0.051	0	-0.06	-0.13	0	-0.194	0	-0.047	-0.245	-0.09	0	-0.273	-0.179	0.011	-0.453	-0.323	0
DCK	-0.421	0	-0.677	-0.729	-2.828	-1.696	-0.461	-2.446	-2.327	-0.932	-1.329	0.82	0	0	-2.131	-1.135	-2.275	-1.736	-1.543	0	-1	-2.759	-1.018	-2.54	0	-1.213	-1.334	-2.329	-1.817	-2.695	-1.05	0.069	-2.203	-1.169	-0.339	-0.693	-0.183	0.254
DCPS	-0.051	0.315	0.193	-0.049	0	1.984	0.129	1.824	1.683	1.758	1.061	1.01	1.288	1.083	1.869	1.545	1.285	1.364	1.827	1.943	0.97	1.931	1.332	1.75	2.01	0.857	1.766	1.381	1.333	1.935	2.03	1.499	1.377	1.791	0.671	0.927	2.167	1.214
DCTD	0	0	0	0	-0.338	-0.016	0.009	-0.266	0.013	-0.012	0.131	-0.12	-0.262	0.023	-0.331	0	-0.485	0.024	-0.183	0	0	-0.389	-0.138	0	0	0	0.006	-0.359	0	-0.305	-0.01	-0.151	-0.063	0.121	0.111	0.037	0	0
DDHD1	0.0445	0	0.318	0.641	0.277	1.624	1.974	0.869	0.9165	1.448	1.401	1.405	1.014	1.528	1.019	1.225	0.085	0.919	1.152	0	1.42	0.6505	1.042	0.355	0.415	0.902	1.426	0.4555	0.853	0.345	1.475	1.179	0.797	1.206	2.286	1.487	2.052	1.379
DDHD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.799	0	0	0	0
DDO	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158	0	0	0	0	0	0	0	0.0755	0	0	0	0	0	0	0	0	0.065	0	0.2985	0.0655	0	0	0	0
DDT	0.144	0.245	0.163	0.061	-0.028	0.019	-0.226	0.674	0.203	0.648	0.206	0.17	0.078	-0.097	0.494	0.36	0.59	-0.606	0.617	0.573	0.145	0.611	0.212	0.72	0.425	-0.058	-0.224	0.431	0.243	0.575	0.405	0.259	0.672	0.646	-0.324	0.112	0.052	-0.086
DEDD	0.0945	-0.2275	-0.0435	-0.0695	0.512	-0.203	0.179	-0.193	0.353	-0.087	-0.119	0	0.019	0.213	-0.0655	-0.1825	0.195	0.069	-0.1315	-0.3185	-0.115	0.176	-0.054	0.02	-0.185	-0.0815	0.358	0.121	-0.0485	-0.0725	-0.14	0	0.097	-0.134	0.101	-0.1565	-0.2415	0
DEDD2	0.709	0.795	0.923	0.761	1.412	0.674	0.129	0.384	0.453	-0.062	0.241	-0.43	0.828	0.343	0.219	0.345	0.705	0.424	0.397	-0.017	0	0.191	0.382	0.62	0.57	1.177	0.476	0.341	0.843	0.575	0.23	-0.181	0.207	0.051	-0.199	0.207	0.047	-0.316
DEPDC1B	0	0	0	0	0	0	0	0	0	1.698	0	0	0	0	2.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.489	0	0	0	0	0	0
DGCR2	0.4095	0.5225	0.4865	0.3705	1.042	0.142	0.1095	0.292	0.3215	0.084	0.2205	-0.095	0.519	0.633	0.1445	0.0775	0.4575	0.292	0.1785	0.4615	0.055	0.366	0.066	0.3	0.235	0.3285	0.103	0.2655	0.2115	0.4575	0.13	-0.1105	0.3885	0.0505	0.0205	0.0535	-0.2115	-0.248
DGCR6	0.124	0.6	0.328	0.171	0.732	0.409	0.359	1.044	0.758	0.433	0.871	0.655	0.474	0.938	0.894	1.125	0.895	0.544	0.612	1.243	0.68	0.666	0.282	0.765	0.745	0.412	0.551	0.821	1.028	1.23	0.365	0.534	0.972	0.751	0.481	0.427	0.232	0.209
DGUOK	0.339	0.705	0.763	0.626	0.517	0.409	0.064	0.509	0.308	0.533	0.646	0.13	0.083	0.153	0.539	0.745	0.425	0.419	0.612	0.1915	0.48	0.456	0.307	0.485	0.56	0.272	0.466	0.376	0.823	-0.02	0.68	0.244	0.642	0.461	0.236	0.167	0.447	0.124
DHCR24	0	0	0	0	0	1.534	0	0.924	2.263	0	1.451	0	0	0.803	1.069	1.335	1.085	0	0.917	0	1.34	0.921	0	1.3	2.4	0	0	1.061	1.483	1.905	1.04	0	1.817	0.951	0	0	0.887	0
DHFR	0	0	0	0	0	0	0.599	0	0	0	2.271	0	0	0	0	2.665	0	0	2.367	0	1.89	2.901	0	2.66	0	0	0	2.381	2.033	0	2.97	0	0	2.701	0	0	0	2.774
DHPS	0.554	0.775	0.703	0.541	1.177	0.482	0.609	0.929	0.848	0.778	0.706	-0.06	0.669	0.948	0.999	0.735	1.095	0.549	0.787	0.6815	0.905	1.011	0.392	1.11	1.09	0.537	0.656	0.801	1.023	0.99	0.9	0.224	1.242	0.816	0.646	0.1235	0.537	0.067
DHTKD1	0.909	0	1.133	1.201	0.942	0	0	0.644	-0.207	0.788	0	-0.21	0	0.663	0.759	0.345	0.575	0	0.527	0	0	0.861	0.512	1.02	0	0	0	0.481	0.343	0	0	-0.051	0.407	0.521	0.311	0.067	0	0
DIDO1	0	0	0	0	-0.448	-0.116	-0.081	-1.046	-0.447	-0.922	-0.509	-0.88	-0.872	0	-0.821	0	-0.805	-0.376	-0.653	-0.897	0	-0.809	-0.448	0	-0.52	0	-0.044	-0.869	-0.447	-0.625	-0.42	-0.621	-0.553	-0.489	-0.149	-0.123	0	0
DLX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.055	0	0	0	-0.019	0	0	0	0
DLX5	0	0	0	0.201	0.712	0.384	0.439	0	0	-0.062	0	0	0	0.493	0	0	0	0.434	0.247	0.283	0.42	0	0	0.72	0.51	0	0	0	0.323	0.465	0.26	0	0	0	0.481	0	0	0
DMAP1	0	0	0	0	0.622	0.484	-0.091	0.714	0.083	0.448	0.461	-0.56	-0.062	0.183	0.639	0	0.635	0.304	0.507	0	0	0.411	0.402	0	0	0	-0.114	0.581	0	0.555	0.2	0.019	0.997	0.291	-0.069	0.027	0	0
DMBT1	0	0	0	0	0.542	0.064	0.059	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0.02	0	0	0	-0.119	0	0	0
DMKN	0	0	0	0.511	0.452	0.404	0.309	0	0	0.078	0	0	0	0.423	0	0	0	0.504	0	0	0.46	0.381	0	0	0.71	0	0	0	0.523	0	0.36	0	0	0	0	0	0	0
DNM1DN11-7	-0.131	-0.295	-0.107	-0.079	0.162	0.354	0.309	-0.326	-0.127	-0.222	-0.229	-0.5	-0.172	0.253	-0.161	-0.235	-0.335	-0.186	-0.143	0.263	-0.12	0.081	-0.438	0.08	-0.11	-0.163	-0.274	-0.369	-0.297	-0.545	0.04	-0.271	0	-0.359	0.011	-0.333	-0.243	-0.376
DNM2	0.3695	0.5625	0.3165	0.3305	0.982	0.737	0.3895	0.617	0.7065	0.544	0.4005	0	0.704	0.7165	0.6345	1.155	0.5925	0.552	0.6135	0.8265	0.47	0.951	0.301	0.635	1.16	0.4135	0.533	0.3555	1.053	0.6025	0.575	0.3195	0.4935	0.6155	0.2905	0.2985	0.6035	0.247
DNMBP	0.089	0	0.023	-0.079	-0.528	-0.546	-0.031	-0.206	-0.007	-0.242	0	-0.52	0	0	-0.141	-0.085	-0.315	0	-0.023	0	-0.19	-0.399	-0.088	-0.54	0	0	0	-0.029	-0.337	-0.275	0	-0.371	-0.173	-0.459	0	0	0	-0.446
DNPEP	0.479	0	0.213	0.641	0	0.304	0	0.594	1.103	0	0	0	0	0	0.759	0.305	0.565	0	0.357	0	1	0.831	0.422	0.63	0.85	0.587	0	0.791	0.653	1.095	0	0	0.417	0	0	0	0	0.114
DOCK10	-0.681	-0.745	-0.797	-0.679	-1.548	-1.266	-0.801	-1.186	-1.367	-1.102	-0.829	-0.67	-1.702	-1.037	-1.241	-1.115	-1.235	0	-1.513	0	-1.14	-1.599	-0.918	-2.07	-1.95	-1.563	-0.854	-0.959	-1.307	-1.625	-1.22	-0.931	-1.023	-1.069	-0.799	-0.703	-0.873	-1.126
DOCK11	-0.311	0	-0.492	-0.539	-1.124	-0.983	-0.6355	-1.961	-2.147	-0.932	-0.6595	0.215	-2.382	-0.7335	-1.641	-1.605	-1.1225	-1.118	-1.928	0	-1.56	-2.194	-1.423	-1.185	0	-0.7865	-1.379	-1.324	-2.262	-0.9875	-0.6	-0.726	-1.763	-0.744	-0.5645	-0.688	-0.2115	-0.436
DOCK2	-0.161	-0.915	-0.327	-0.619	-0.538	-1.126	-0.881	-0.336	-0.167	-0.542	-0.899	-0.91	-0.352	-0.527	-0.591	-0.695	-0.345	-1.306	-0.393	-0.947	-0.82	-0.769	-0.358	-0.89	-1.43	-0.863	-0.414	-0.369	-0.387	-0.335	-0.85	-1.001	-0.203	-0.779	-1.289	-0.433	-1.393	-1.456
DOCK4	1.509	0	1.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK5	1.189	1.305	0.933	1.081	1.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK6	0.349	0.275	0.433	0.451	0.752	0.774	0.499	-0.026	0.483	0.008	0.201	-0.29	0.518	0.683	0.089	0.085	0.365	0.274	0.387	0.633	0.2	0.641	-0.108	0.51	0.36	0.367	-0.004	-0.009	0.113	0.275	0.33	-0.331	0.317	0.131	0.281	-0.053	-0.043	-0.296
DOCK8	0.269	-0.3	-0.172	-0.379	-1.543	-0.861	-0.961	-0.896	-1.352	-0.962	-1.434	-0.91	-1.927	-0.4385	-1.006	-1.335	-1.445	-1.211	-1.053	-1.1735	-1.15	-1.474	-1.138	-1.39	-0.54	-0.578	-0.859	-1.184	-1.417	-1.785	-0.46	-0.886	-1.133	-1.034	-1.284	-1.173	-0.693	-0.891
DOCK9	-0.046	0	0.243	0.366	0.391	0.412	0.2795	0.117	0.4165	0.144	0.1505	-0.105	0	0.3815	-0.051	-0.105	0.1125	0.252	0.2085	0.3115	0.53	-0.344	-0.024	0.14	0.29	0.1885	0.308	0.1005	-0.112	0.3275	0.33	-0.0205	0.1685	-0.154	0.2905	0	0.3585	-0.026
DOK3	0	0.5725	0.5515	0.4705	0.992	0.557	0.3345	0.632	0.7715	0.489	0.1955	0	0.669	0.5815	0.6445	0.6375	0.6675	0.552	0.7385	0.6315	0.095	0.7405	0	1.065	0.92	0.8185	0.563	0.3805	0.8465	0.9875	0.62	0.4395	0.3035	0.4505	-0.0195	0.2935	0.8485	0.422
DOK4	0	0	1.453	0	1.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOK5	0	0	0	0	0	-0.466	-0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPEP2	1.099	1.365	1.373	1.461	1.852	-0.336	0.009	0.294	0.473	-0.232	0.181	-0.56	0.638	0.523	-0.341	0.255	0.995	0.724	-0.033	0.233	-0.44	-0.529	0.172	-0.2	-0.5	-0.133	0	0.261	0.633	0.355	-0.19	-0.341	0.097	-0.419	-0.369	0.307	-1.203	-1.176
DPEP3	1.229	1.275	1.213	1.321	1.582	0	0.359	0	0	0	0	0	0	0.853	0	0	0	1.234	0	0	0	0	0	0	0	0	0	0	0.823	0	0.28	0	0	0	0	0	0	0
DPYD	-0.431	-0.705	-0.367	-0.349	-2.898	0	-1.921	-3.166	-2.817	-2.502	0	-1.32	0	0	-2.801	-2.815	-3.045	0	-2.733	0	-2.24	-2.989	-1.888	-2.29	0	-1.003	-2.204	-2.299	-2.517	-3.645	0	-1.941	-3.163	-2.379	0	-1.573	0	-1.586
DRD1	0	0	0	0	0	0	0.889	0	0	0	0	0	0	0.793	0	0	0	0	0	0	0	0.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRD2	0	0	0	0	0.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791	0	0	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0
DRD3	0	0	0	0	0.182	0	-0.201	1.064	0	0	0	0.52	0	-0.007	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0.561	0	0	-0.47	0	0	0	0	0	0	0
DRD5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRG1	-0.306	-0.905	-0.442	-0.519	-0.048	0.414	0.154	0.694	0.098	0.443	0.316	0.015	-0.196	0.533	0.749	0.42	0.18	-0.008	0.567	0.1065	0.2	0.676	0.392	0.3	0.19	-0.203	0.346	0.546	0.438	-0.23	0.77	0.309	0.752	0.706	-0.024	-0.008	0.557	-0.126
DRG2	0.159	0.065	-0.067	-0.229	0.002	0.524	0.059	1.084	0.863	0.268	0.861	0	0	0.713	1.039	0.715	0.945	0.494	0.697	0.873	0.62	0.621	0.702	0.79	0.79	0	0.306	0.911	0.743	1.085	0.53	0.149	1.037	0.611	0.351	0.267	0.197	0.024
DRP2	0	0	0	0	1.122	0	1.329	0	0	0.978	0	0	0	1.033	0	0	0	0	0	0	0.84	0.951	0	0	0	0	0	0	0	0	0.97	0	0	0.381	0.821	0	0	0
DSC1	0	0	0	1.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSC2	0.629	1.195	1.293	-0.199	-0.468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DST	0	0	0	0	0.156	0	0.0745	0	0	0	0	0	0	0.2015	0	0	0	0.537	0	0	-0.01	-0.0845	0	0	0	0	0	0	0	0	-0.075	0	0	0	-0.0445	0	0	0
DTNBP1	0.019	0	0.223	0.291	0.342	0.794	0.349	0.564	0.103	0.198	0.891	0	0	0.693	0.339	0.415	0.525	0.754	0.477	0	0.76	0.491	0.172	0.48	0.63	0.377	0.206	0.301	0.613	0.035	0	0	0.617	0.221	0.551	0	0	0
DUOX1	-1.051	0	-1.377	0	0	0	0	0	0	0	0	0	0	0	0	-0.835	0	0	0	0	-0.97	0	0	0	-1.37	0	0	0	0	0	0	0	0	0	0	0	-0.933	0
DUOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281	0	0	0
DUSP1	0	-3.715	0	0	0	0	0	0	0	0	0	0	0	-4.277	0	0	0	-4.776	0	0	0	0	0	0	0	-3.163	-2.984	0	0	0	0	0	0	0	-5.119	0	0	0
DUSP10	0	0	-1.417	0	0	0	0	0	0	0	0	0	0	0	0	-1.445	0	0	0	0	0	0	0	0	0	0	0	0	-1.427	0	0	0	0	-1.359	0	0	0	0
DUSP12	-0.501	-0.865	-0.427	-0.479	-1.158	-0.406	-0.241	-0.196	-0.767	-0.072	-0.209	0.08	0	-0.387	-0.071	0.285	-0.935	-0.796	-0.033	-0.757	-0.21	-0.249	-0.288	-0.49	-0.35	-0.803	-0.384	0.041	-0.217	-1.345	-0.09	0.249	-0.503	0.071	-0.229	-0.163	0.107	-0.126
DUSP14	0.169	0	-0.007	0	-0.248	0	0	0	0	0	-0.099	0	0	0	0	-0.025	0	0.204	0	0	-0.27	0	0	0	0	0	0	0	-0.177	0	0	0	0	0.101	0	0	0	-0.116
DUSP15	0	0	0.0765	0.0955	0.312	0.364	0.189	0	0	-0.227	0.0405	0	-0.256	0.383	0	0.1175	-0.0475	0.474	-0.1315	0.438	0.255	0.456	0	0.585	0.635	0.1735	0.111	0	0.398	0.27	0.305	0	-0.3065	-0.464	0.031	0	-0.013	0
DUSP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.499	0	0	0	0
DUSP18	1.189	1.085	1.183	1.101	2.012	1.314	1.219	0.974	1.423	0.348	1.161	-0.36	2.088	1.513	0.639	0.855	1.495	1.444	0.747	1.503	0.89	0.671	0.702	1.58	1.74	1.327	1.376	1.011	1.603	1.175	0.94	0.149	0.787	0.551	0.811	0.737	0	-0.076
DUSP19	0	0	0	0	-0.518	0	-0.071	0	0	0	0	0	0	-0.157	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP2	-0.471	-3.085	-0.987	-1.709	-1.178	-0.136	-2.161	-0.446	-0.517	-1.032	-0.679	-1.1	-0.462	-1.267	-0.881	-0.955	-0.455	-0.496	-0.573	-1.957	-1.31	-1.859	-0.688	-1.81	-2.41	-1.313	-1.034	-0.679	-0.807	-0.435	-1.28	-0.571	-1.143	-1.119	-1.129	-0.483	-1.573	-0.886
DUSP22	-0.056	-0.525	-0.097	-0.119	-0.258	-0.651	-0.371	-0.296	0.1565	-0.342	-0.6395	0.06	0.179	-0.197	-0.381	-0.62	0.2825	-0.781	-0.663	-0.322	-0.58	-0.289	0.151	-0.39	-0.44	-0.0165	-0.017	-0.469	-0.512	0.1425	-0.555	-0.686	-0.598	-0.414	-0.454	-0.413	-0.288	-0.601
DUSP23	0.389	0.365	0.563	0.331	0.642	0.124	0	0.404	0.113	-0.202	0.481	-0.13	0	-0.007	0.229	0.235	0.545	0.244	-0.103	0	0.11	0.321	-0.218	0.5	0.38	0.227	-0.354	0.301	0.363	0.505	0.19	-0.121	0.417	0.271	-0.079	0.057	-0.443	-0.286
DUSP4	-0.8555	0	0	0	0.361	0	-0.2205	0	0	0	0	0	0	-0.1985	0	-1.0875	0	0	0	0	0	0	-0.704	0	0.575	0	0	-0.6695	0	0	-0.22	0	0	0	0	0	0	0
DUSP5	-0.781	0	-0.947	-1.549	-1.628	0.704	-1.241	0.824	0.703	1.248	0	0.49	0.688	0	0.639	-0.115	-0.455	0	0.777	0	-0.7	0.901	0	0.37	0	-0.223	-0.194	-0.079	-0.757	0.345	0.89	0.399	-0.723	0.911	-1.099	-0.273	1.547	0.984
DUSP6	0.619	-0.525	0.523	-0.154	-0.564	-1.741	-0.746	-2.011	-1.352	-1.747	-2.164	-1.46	-1.232	-1.437	-1.861	-1.555	-1.89	-1.211	-1.148	-1.0485	-1.165	-1.849	-0.863	-2.055	-1.28	0.062	-1.079	-1.194	-1.162	-2.145	-1.645	-1.391	-2.733	-2.274	-1.554	-0.953	-1.798	-1.681
DUSP8	-0.3355	0	-0.4135	-0.5245	0	0	0	-1.461	0	0	0	0	0	0	-0.8105	-0.4775	0	0	0	0	0	-1.0945	-0.619	0	0	0	0	-1.314	-0.8285	-0.6875	0	0	0	-0.5895	0	0	0	0
DYM	-0.241	0	-0.467	-0.169	-0.158	0.324	0.269	0.184	0.133	0.428	0.361	-0.01	-0.182	-0.167	0.109	0.255	-0.085	0.004	0.287	0.283	0.15	0.151	0.002	0.04	0	0.037	0.226	-0.009	0.103	-0.085	0.3	0.059	0.177	0.301	0.171	0.467	-0.153	0.054
E2F1	0	0	0	0	0	0	0	1.684	0	1.838	1.781	0	0	1.703	2.029	0	0	0	1.897	0	1.28	1.761	0	1.98	0	0	0	0	1.893	2.795	1.48	0	1.377	1.541	0	0	1.847	0
E2F2	1.259	2.155	1.603	1.531	2.692	2.654	1.409	2.074	3.063	2.388	2.811	1.85	2.798	2.833	2.209	3.175	2.335	2.414	2.327	0	2.07	2.411	2.022	2.83	2.92	2.477	3.266	1.921	2.853	2.925	2.78	1.929	2.477	2.651	1.301	1.587	3.237	2.084
E2F3	0.724	0.09	0.653	0.546	-1.423	-0.843	-1.386	-1.551	-1.632	-1.452	0	-0.135	0	0	-1.601	-1.365	-1.485	-0.578	-1.823	0	-1.555	-1.989	-1.483	-2.11	0	-0.903	-0.929	-1.364	-1.387	-2.135	-0.705	-0.516	-1.798	-0.869	-0.7695	-1.268	-0.2515	-0.471
